        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
              m              s            hPa             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
            0.0            0.0         977.78         +11.50          98.00           10.0            215
          199.9           42.2         955.50         +10.20         100.00           24.3            195
          399.8           83.0         932.51          +9.29         100.00           30.4            200
          799.6          163.7         888.48          +9.31         100.00           32.9            232
         1199.3          238.8         846.69          +8.20          99.48           31.7            237
         1599.0          311.2         806.45          +5.52          92.55           43.5            236
         1998.6          391.3         768.30          +3.87          75.81           53.3            232
         2398.2          468.1         731.13          +0.63          58.28           53.8            237
         2997.5          581.1         678.53          -2.10          44.67           53.1            244
         3996.0          774.3         597.05          -9.77          52.98           64.0            247
         4994.2          978.5         523.28         -16.51          47.96           64.0            251
         5992.1         1191.6         457.05         -22.18          60.15           64.4            242
         7987.0         1650.7         344.53         -37.23          61.76           72.7            252
         9980.6         2078.4         254.28         -54.89          47.19           85.5            252
        11972.9         2521.3         183.26         -61.59          12.46          105.6            263
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
