        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
              m              s            hPa             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
            0.0            0.0         977.78         +11.50          98.00           10.0            215
          499.8          103.1         921.30          +8.95         100.00           31.1            206
          999.5          202.7         867.41          +9.22         100.00           31.1            237
         1499.1          292.7         816.39          +6.20          97.61           38.3            239
         1998.6          391.3         768.30          +3.87          75.81           53.3            232
         2498.1          488.2         722.12          +0.20          53.71           53.6            239
         2997.5          581.1         678.53          -2.10          44.67           53.1            244
         3496.8          676.0         636.80          -6.09          43.74           55.5            245
         3996.0          774.3         597.05          -9.77          52.98           64.0            247
         4495.1          864.5         559.10         -12.90          54.49           65.7            253
         4994.2          978.5         523.28         -16.51          47.96           64.0            251
         5493.2         1084.4         489.22         -18.65          62.24           70.8            238
         5992.1         1191.6         457.05         -22.18          60.15           64.4            242
         6490.9         1311.3         426.36         -24.78          56.87           61.1            246
         6989.7         1428.8         397.62         -28.81          56.35           63.6            248
         7488.4         1536.9         370.42         -33.12          59.56           69.7            253
         7987.0         1650.7         344.53         -37.23          61.76           72.7            252
         8485.5         1760.6         320.02         -41.66          59.05           72.1            248
         8983.9         1874.5         296.91         -45.93          51.41           76.5            250
         9482.3         1971.5         275.17         -50.50          60.79           83.7            252
         9980.6         2078.4         254.28         -54.89          47.19           85.5            252
        10478.8         2188.1         234.81         -58.86          34.04           90.8            258
        10976.9         2298.0         216.38         -62.29          49.78          102.4            261
        11475.0         2412.1         198.89         -63.50          19.19          102.1            262
        11972.9         2521.3         183.26         -61.59          12.46          105.6            263
        12470.8         2634.6         168.81         -59.10           7.12          109.7            267
