           Time          Press          Lat/N         Long/E
              s            hPa                              
------------------------------------------------------------
            0.0         977.78      +41.46402     -087.03857
           10.0         973.45      +41.46465     -087.03855
           20.0         967.99      +41.46542     -087.03851
           30.0         962.57      +41.46622     -087.03832
           40.0         956.81      +41.46724     -087.03799
           50.0         950.98      +41.46840     -087.03746
           60.0         945.30      +41.46965     -087.03684
           70.0         939.70      +41.47103     -087.03631
           80.0         934.17      +41.47239     -087.03585
           90.0         928.61      +41.47370     -087.03521
          100.0         923.05      +41.47498     -087.03450
          110.0         917.49      +41.47629     -087.03371
          120.0         911.90      +41.47760     -087.03271
          130.0         906.36      +41.47884     -087.03158
          140.0         900.96      +41.48005     -087.03027
          150.0         895.59      +41.48125     -087.02882
          160.0         890.38      +41.48233     -087.02718
          170.0         885.20      +41.48311     -087.02546
          180.0         879.90      +41.48385     -087.02378
          190.0         874.48      +41.48464     -087.02214
          200.0         868.96      +41.48540     -087.02048
          210.0         863.27      +41.48618     -087.01893
          220.0         857.51      +41.48697     -087.01734
          230.0         851.77      +41.48777     -087.01579
          240.0         846.02      +41.48856     -087.01415
          250.0         840.26      +41.48930     -087.01254
          260.0         834.59      +41.49008     -087.01087
          270.0         829.00      +41.49093     -087.00904
          280.0         823.39      +41.49167     -087.00729
          290.0         817.85      +41.49247     -087.00543
          300.0         812.42      +41.49336     -087.00343
          310.0         807.05      +41.49431     -087.00132
          320.0         802.11      +41.49539     -086.99885
          330.0         797.38      +41.49674     -086.99637
          340.0         792.86      +41.49828     -086.99395
          350.0         788.42      +41.49982     -086.99131
          360.0         783.79      +41.50136     -086.98864
          370.0         778.91      +41.50295     -086.98598
          380.0         773.94      +41.50447     -086.98339
          390.0         768.95      +41.50602     -086.98077
          400.0         763.89      +41.50759     -086.97826
          410.0         758.80      +41.50906     -086.97578
          420.0         753.79      +41.51058     -086.97319
          430.0         748.95      +41.51202     -086.97047
          440.0         744.13      +41.51344     -086.96771
          450.0         739.43      +41.51490     -086.96497
          460.0         734.82      +41.51635     -086.96216
          470.0         730.26      +41.51769     -086.95930
          480.0         725.78      +41.51902     -086.95658
          490.0         721.32      +41.52033     -086.95387
          500.0         716.69      +41.52164     -086.95106
          510.0         711.93      +41.52287     -086.94813
          520.0         707.07      +41.52401     -086.94517
          530.0         702.18      +41.52506     -086.94229
          540.0         697.49      +41.52617     -086.93935
          550.0         692.87      +41.52732     -086.93644
          560.0         688.24      +41.52838     -086.93348
          570.0         683.62      +41.52945     -086.93048
          580.0         679.04      +41.53056     -086.92753
          590.0         674.48      +41.53161     -086.92461
          600.0         670.20      +41.53271     -086.92170
          610.0         666.13      +41.53383     -086.91880
          620.0         662.11      +41.53489     -086.91583
          630.0         657.97      +41.53593     -086.91285
          640.0         653.48      +41.53697     -086.90981
          650.0         648.81      +41.53806     -086.90673
          660.0         644.15      +41.53915     -086.90367
          670.0         639.54      +41.54022     -086.90058
          680.0         635.03      +41.54124     -086.89749
          690.0         630.80      +41.54229     -086.89438
          700.0         626.84      +41.54339     -086.89120
          710.0         623.17      +41.54448     -086.88794
          720.0         619.68      +41.54560     -086.88459
          730.0         616.01      +41.54674     -086.88121
          740.0         612.15      +41.54780     -086.87778
          750.0         608.05      +41.54894     -086.87423
          760.0         603.60      +41.55023     -086.87062
          770.0         599.02      +41.55169     -086.86699
          780.0         594.43      +41.55297     -086.86343
          790.0         589.89      +41.55393     -086.85988
          800.0         585.58      +41.55491     -086.85617
          810.0         581.40      +41.55588     -086.85231
          820.0         577.21      +41.55682     -086.84860
          830.0         573.02      +41.55780     -086.84480
          840.0         568.69      +41.55874     -086.84095
          850.0         564.57      +41.55977     -086.83705
          860.0         560.75      +41.56068     -086.83318
          870.0         557.17      +41.56158     -086.82939
          880.0         553.90      +41.56244     -086.82558
          890.0         550.76      +41.56324     -086.82158
          900.0         547.70      +41.56403     -086.81757
          910.0         544.66      +41.56484     -086.81357
          920.0         541.65      +41.56562     -086.80958
          930.0         538.60      +41.56642     -086.80562
          940.0         535.55      +41.56720     -086.80163
          950.0         532.55      +41.56797     -086.79770
          960.0         529.49      +41.56871     -086.79383
          970.0         526.25      +41.56944     -086.79000
          980.0         522.71      +41.57032     -086.78608
          990.0         518.97      +41.57140     -086.78241
         1000.0         515.23      +41.57253     -086.77894
         1010.0         511.66      +41.57386     -086.77531
         1020.0         508.50      +41.57540     -086.77166
         1030.0         505.50      +41.57699     -086.76799
         1040.0         502.51      +41.57861     -086.76434
         1050.0         499.51      +41.58029     -086.76068
         1060.0         496.50      +41.58201     -086.75703
         1070.0         493.53      +41.58372     -086.75332
         1080.0         490.53      +41.58541     -086.74968
         1090.0         487.51      +41.58714     -086.74599
         1100.0         484.46      +41.58894     -086.74225
         1110.0         481.37      +41.59074     -086.73852
         1120.0         478.30      +41.59254     -086.73474
         1130.0         475.29      +41.59434     -086.73097
         1140.0         472.34      +41.59614     -086.72721
         1150.0         469.41      +41.59790     -086.72341
         1160.0         466.46      +41.59961     -086.71959
         1170.0         463.48      +41.60124     -086.71589
         1180.0         460.51      +41.60277     -086.71226
         1190.0         457.53      +41.60425     -086.70873
         1200.0         454.61      +41.60566     -086.70523
         1210.0         451.79      +41.60693     -086.70181
         1220.0         449.03      +41.60812     -086.69846
         1230.0         446.37      +41.60926     -086.69513
         1240.0         443.82      +41.61038     -086.69179
         1250.0         441.35      +41.61146     -086.68845
         1260.0         438.90      +41.61255     -086.68508
         1270.0         436.48      +41.61368     -086.68171
         1280.0         434.04      +41.61486     -086.67834
         1290.0         431.58      +41.61604     -086.67496
         1300.0         429.13      +41.61721     -086.67155
         1310.0         426.68      +41.61838     -086.66813
         1320.0         424.24      +41.61951     -086.66466
         1330.0         421.85      +41.62065     -086.66120
         1340.0         419.48      +41.62178     -086.65767
         1350.0         417.08      +41.62287     -086.65411
         1360.0         414.69      +41.62395     -086.65055
         1370.0         412.30      +41.62506     -086.64700
         1380.0         409.90      +41.62618     -086.64349
         1390.0         407.47      +41.62731     -086.64001
         1400.0         405.01      +41.62847     -086.63650
         1410.0         402.53      +41.62966     -086.63295
         1420.0         399.97      +41.63082     -086.62943
         1430.0         397.29      +41.63197     -086.62582
         1440.0         394.56      +41.63307     -086.62220
         1450.0         391.81      +41.63415     -086.61849
         1460.0         389.10      +41.63520     -086.61469
         1470.0         386.53      +41.63619     -086.61088
         1480.0         384.07      +41.63716     -086.60705
         1490.0         381.64      +41.63811     -086.60314
         1500.0         379.23      +41.63906     -086.59918
         1510.0         376.81      +41.64000     -086.59517
         1520.0         374.43      +41.64093     -086.59111
         1530.0         372.06      +41.64184     -086.58696
         1540.0         369.69      +41.64278     -086.58284
         1550.0         367.37      +41.64375     -086.57872
         1560.0         365.07      +41.64476     -086.57460
         1570.0         362.75      +41.64578     -086.57046
         1580.0         360.44      +41.64684     -086.56627
         1590.0         358.14      +41.64789     -086.56203
         1600.0         355.86      +41.64894     -086.55774
         1610.0         353.63      +41.64998     -086.55343
         1620.0         351.42      +41.65106     -086.54910
         1630.0         349.19      +41.65213     -086.54473
         1640.0         346.95      +41.65318     -086.54037
         1650.0         344.69      +41.65421     -086.53604
         1660.0         342.42      +41.65524     -086.53179
         1670.0         340.18      +41.65621     -086.52760
         1680.0         337.94      +41.65723     -086.52342
         1690.0         335.72      +41.65828     -086.51920
         1700.0         333.50      +41.65935     -086.51495
         1710.0         331.28      +41.66043     -086.51074
         1720.0         329.04      +41.66154     -086.50659
         1730.0         326.80      +41.66269     -086.50246
         1740.0         324.57      +41.66387     -086.49834
         1750.0         322.35      +41.66512     -086.49424
         1760.0         320.16      +41.66636     -086.49015
         1770.0         318.03      +41.66758     -086.48599
         1780.0         315.91      +41.66881     -086.48175
         1790.0         313.82      +41.67004     -086.47758
         1800.0         311.79      +41.67128     -086.47341
         1810.0         309.79      +41.67249     -086.46918
         1820.0         307.82      +41.67373     -086.46486
         1830.0         305.85      +41.67497     -086.46049
         1840.0         303.86      +41.67619     -086.45612
         1850.0         301.85      +41.67740     -086.45175
         1860.0         299.83      +41.67860     -086.44735
         1870.0         297.81      +41.67979     -086.44290
         1880.0         295.82      +41.68097     -086.43843
         1890.0         293.84      +41.68215     -086.43395
         1900.0         291.87      +41.68332     -086.42944
         1910.0         289.87      +41.68447     -086.42490
         1920.0         287.76      +41.68563     -086.42039
         1930.0         285.49      +41.68676     -086.41585
         1940.0         283.05      +41.68787     -086.41120
         1950.0         280.49      +41.68900     -086.40645
         1960.0         277.94      +41.69024     -086.40153
         1970.0         275.53      +41.69145     -086.39679
         1980.0         273.27      +41.69272     -086.39190
         1990.0         271.14      +41.69392     -086.38681
         2000.0         269.14      +41.69513     -086.38176
         2010.0         267.19      +41.69633     -086.37668
         2020.0         265.29      +41.69757     -086.37151
         2030.0         263.42      +41.69882     -086.36643
         2040.0         261.55      +41.70009     -086.36135
         2050.0         259.64      +41.70135     -086.35627
         2060.0         257.71      +41.70259     -086.35124
         2070.0         255.82      +41.70382     -086.34619
         2080.0         253.98      +41.70503     -086.34114
         2090.0         252.16      +41.70623     -086.33613
         2100.0         250.30      +41.70742     -086.33111
         2110.0         248.42      +41.70855     -086.32605
         2120.0         246.54      +41.70962     -086.32094
         2130.0         244.70      +41.71065     -086.31580
         2140.0         242.95      +41.71164     -086.31056
         2150.0         241.22      +41.71259     -086.30519
         2160.0         239.51      +41.71353     -086.29977
         2170.0         237.83      +41.71450     -086.29429
         2180.0         236.15      +41.71545     -086.28881
         2190.0         234.49      +41.71636     -086.28331
         2200.0         232.87      +41.71723     -086.27784
         2210.0         231.25      +41.71806     -086.27232
         2220.0         229.61      +41.71891     -086.26682
         2230.0         227.91      +41.71975     -086.26130
         2240.0         226.19      +41.72065     -086.25564
         2250.0         224.47      +41.72159     -086.24990
         2260.0         222.76      +41.72255     -086.24400
         2270.0         221.08      +41.72353     -086.23800
         2280.0         219.40      +41.72448     -086.23190
         2290.0         217.72      +41.72532     -086.22569
         2300.0         216.06      +41.72600     -086.21941
         2310.0         214.45      +41.72658     -086.21309
         2320.0         212.91      +41.72714     -086.20672
         2330.0         211.33      +41.72771     -086.20037
         2340.0         209.76      +41.72826     -086.19405
         2350.0         208.19      +41.72879     -086.18776
         2360.0         206.62      +41.72936     -086.18150
         2370.0         205.12      +41.72996     -086.17518
         2380.0         203.64      +41.73059     -086.16884
         2390.0         202.16      +41.73122     -086.16244
         2400.0         200.68      +41.73188     -086.15617
         2410.0         199.20      +41.73252     -086.14993
         2420.0         197.73      +41.73313     -086.14374
         2430.0         196.25      +41.73377     -086.13752
         2440.0         194.78      +41.73443     -086.13128
         2450.0         193.33      +41.73513     -086.12500
         2460.0         191.88      +41.73586     -086.11868
         2470.0         190.46      +41.73658     -086.11227
         2480.0         189.04      +41.73722     -086.10584
         2490.0         187.64      +41.73779     -086.09950
         2500.0         186.24      +41.73835     -086.09311
         2510.0         184.84      +41.73890     -086.08660
         2520.0         183.44      +41.73947     -086.08015
         2530.0         182.05      +41.74004     -086.07372
         2540.0         180.67      +41.74062     -086.06727
         2550.0         179.30      +41.74118     -086.06063
         2560.0         177.96      +41.74182     -086.05400
         2570.0         176.65      +41.74247     -086.04724
         2580.0         175.38      +41.74304     -086.04045
         2590.0         174.13      +41.74341     -086.03368
         2600.0         172.91      +41.74369     -086.02686
         2610.0         171.71      +41.74398     -086.02005
         2620.0         170.53      +41.74427     -086.01330
         2630.0         169.36      +41.74457     -086.00654
         2640.0         168.16      +41.74490     -085.99969
         2650.0         166.95      +41.74517     -085.99281
         2660.0         165.72      +41.74535     -085.98607
         2670.0         164.49      +41.74540     -085.97963
         2680.0         163.26      +41.74546     -085.97337
         2690.0         162.06      +41.74554     -085.96724
         2700.0         160.91      +41.74557     -085.96109
         2710.0         159.77      +41.74554     -085.95492
         2720.0         158.62      +41.74549     -085.94890
         2730.0         157.46      +41.74543     -085.94284
